#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
崎	험할 기(기이한(奇)산(山)은 험함) (기이할 기(奇) : 너무 크고(大) 기이해서 허락(可) 해버림)	さき 宮崎県（みやさきけん）ー미야자키현 川崎市（かわさきし）ー가와사카시		기이할 기(奇) / 부칠 기(寄) / 험할 기(埼) / 험할 기(崎) / 의자 의(椅) / 말 탈 기(騎)
椅	의자 의(기이한(奇) 장식이 된 나무(木)의자) (기이할 기(奇) : 너무 크고(大) 기이해서 허락(可) 해버림)	い 椅子（いす）ー의자 机の横にある椅子 （つくえのよこにあるいす）ー책상 옆에 있는 의자 安楽椅子（あんらくいす）ー안락 의자 車椅子（くるまいす）ー휠체어		기이할 기(奇) / 부칠 기(寄) / 험할 기(埼) / 험할 기(崎) / 의자 의(椅) / 말 탈 기(騎)
騎	말 탈 기(기이한(奇) 안장의 말(馬)을 탐) (기이할 기(奇) : 너무 크고(大) 기이해서 허락(可) 해버림)	き 騎馬（きば）ー기마 騎馬の姿勢（きばのしせい）ー기마자세 騎馬戦（きばせん）ー기마전 騎手（きしゅ）ー기수 騎兵（きへい）ー기병 騎士道（きしどう）ー기사도		기이할 기(奇) / 부칠 기(寄) / 험할 기(埼) / 험할 기(崎) / 의자 의(椅) / 말 탈 기(騎)
寄	부칠 기(집(宀)에 기이하고(奇) 값비싼 물건을 부침) (기이할 기(奇) : 너무 크고(大) 기이해서 허락(可) 해버림)	き 寄付（きふ）ー기부 慈善寄付（じぜんきふ）ー자선 기부 寄付金（きふきん）ー기부금 寄贈（きぞう）ー기증 ピアノを寄贈する（ピアノをきぞうする）ー피아노를 기증하다 寄生（きせい）ー기생 体内に寄生する（たいないにきせいする）ー체내에 기생하다 寄生虫（きせいちゅう）ー기생충	寄せる（よせる）ー밀려오다 家具を壁際に寄せる（かぐをかべぎわによせる）ー가구를 벽 가까이 붙이다 寄る（よる）ー접근하다, 다가가다, 다가서다 東京にも寄るコースですか（とうきょうにもよるコースですか）ー도쿄도 거쳐 가는 경로에요?	기이할 기(奇) / 부칠 기(寄) / 험할 기(埼) / 험할 기(崎) / 의자 의(椅) / 말 탈 기(騎)
幾	몇 기(멀리서 작게(幺)보이는 적군의 창(戈)의 보고 인원(人)수를 파악함)	き 幾何（きか）ー기하 幾何学（きかがく）ー기하학 幾何級数（きかきゅうすう）ー기하급수 いく 幾つ（いくつ）ー몇개 幾ら（いくら）ー얼마 幾分（いくぶん）ー약간, 일부		몇 기(幾) / 틀 기(機) / 경기 기(畿)
機	틀 기(몇(幾)번이고 나무(木)를 가공하는 틀)	き 機械（きかい）ー기계 機会（きかい）ー기회 動機（どうき）ー동기 動機づけ（どうきづけ）ー동기 부여 飛行機（ひこうき）ー비행기 機嫌（きげん）ー기분 機関（きかん）ー기관 交通機関（こうつうきかん）ー교통 기관 機能（きのう）ー기능 契機（けいき）ー계기 危機（きき）ー위기	はた 機（はた）ー베틀 機織り（はたおり）ー길쌈, 베 짜기	몇 기(幾) / 틀 기(機) / 경기 기(畿)
畿	경기 기(도읍에서 얼마(㡬)안 떨어진 경기도 같은 땅(田))	き 近畿（きんき）ー긴키 지방 (수도에 가까운 지방)		몇 기(幾) / 틀 기(機) / 경기 기(畿)
単	홀로 단(열개(十) 밭(田)을 홀로 관리하니 머리가 불탄다(```))	たん 単位（たんい）ー단위 単純（たんじゅん）ー단순 単細胞（たんさいぼう）ー단세포 (단순한 인간) 簡単（かんたん）ー간단 簡単に脱着出来る（かんたんにだっちゃくできる）ー간단히 탈착 가능하다 単語（たんご）ー단어 単独（たんどく）ー단독 単身（たんしん）ー단신 単価（たんか）ー단가 単調（たんちょう）ー단조 単一（たんいつ）ー단일 単刀直入（たんとうちょくにゅう）ー단도직입		홀로 단(単) / 탄알 탄(弾) / 좌선 선(禅) / 싸움 전(戦)
弾	탄알 탄(활(弓)은 한발씩(单) 쏘는 탄알)	だん 爆弾（ばくだん）ー폭탄 弾力（だんりょく）ー탄력 弾性（だんせい）ー탄성 弾性力（だんせいりょく）ー탄성력 弾丸（だんがん）ー탄환 弾圧（だんあつ）ー탄압 実弾（じつだん）ー실탄 弾劾（だんがい）ー탄핵 散弾（さんだん）ー산탄 散弾銃（さんだんじゅう）ー산탄총 肉弾（にくだん）ー육탄 防弾（ぼうだん）ー방탄 弾頭（だんとう）ー탄두 弾薬（だんやく）ー탄약 弾幕（だんまく）ー탄막 弾倉（だんそう）ー탄창 砲弾（ほうだん）ー폭탄 手榴弾（しゅりゅうだん）ー수류탄 催涙弾（さいるいだん）ー최루탄 誘導弾（ゆうどうだん）ー유도탄 照明弾（しょうめいだん）ー조명탄	たま 弾（たま）ー총알 弾除け（たまよけ）ー방탄 弾く（ひく）ー(악기를) 연주하다 弾む（はずむ）ー(반동으로) 튀다, 기세가 오르다	홀로 단(単) / 탄알 탄(弾) / 좌선 선(禅) / 싸움 전(戦)
禅	좌선 선(홀로(单) 제단(礻)에 앉아 기도함) *좌선 : 석가모니 처럼 고요히 앉아서 도를 닦음	ぜん 禅定（ぜんじょう）ー선종 禅寺（ぜんでら）ー선종의 절 座禅（ざぜん）ー좌선		홀로 단(単) / 탄알 탄(弾) / 좌선 선(禅) / 싸움 전(戦)
戦	싸움 전(혼자(单) 창(戈)들고 싸움)	せん 戦争（せんそう）ー전쟁 核戦争（かくせんそう）ー핵전쟁 対戦（たいせん）ー대전 挑戦（ちょうせん）ー도전 戦力（せんりょく）ー전력 敗戦（はいせん）ー패전 休戦（きゅうせん）ー휴전 戦術（せんじゅつ）ー전술 戦闘（せんとう）ー전투 戦闘機（せんとうき）ー전투기 作戦（さくせん）ー작전 宣戦布告（せんせんふこく）ー선전포고 延長戦（えんちょうせん）ー연장전 戦利品（せんりひん）ー전리품 連戦連勝（れんせんれんしょう）ー연전연승	いくさ 戦（いくさ）ー전쟁 戦う（たたかう）ー싸우다 攻撃を主にして戦う（こうげきをしゅにしてたたかう）ー공격을 주로하여 싸우다	홀로 단(単) / 탄알 탄(弾) / 좌선 선(禅) / 싸움 전(戦)
同	같을 동(집(冂)안의 한(一) 식구(口)는 혈통이 같음)	どう 同時（どうじ）ー동시 混同（こんどう）ー혼동 共同（きょうどう）ー공동 共同購入（きょうどうこうにゅう）ー공동구입   協同（きょうどう）ー협동  合同（ごうどう）ー합동 同一（どういつ）ー동일  同様（どうよう）ー같음  同居（どうきょ）ー동거 同意（どうい）ー동의  同意されますか（どういされますか）ー동의합니까?  同盟（どうめい）ー동맹	おなじ 同じ（おなじ）ー같음 同じ年（おなじとし）ー동갑	같을 동(同) / 동굴 동(洞) / 몸통 동(胴) / 구리 동(銅) / 일(기쁠) 흥(興) / 대나무통 통(筒)
洞	동굴 동(마을 사람들은 동굴의 물(氵)을 함께(同)사용함)	どう 洞窟（どうくつ）ー동굴 洞窟遺跡（どうくついせき）ー동굴 유적 洞察（どうさつ）ー통찰 (동찰) 洞察力（どうさつりょく）ー통찰력 洞察力を養う（どうさつりょくをやしなう）ー통찰력을 기르다	ほら 洞（ほら）ー동굴 洞穴（ほらあな）ー동굴	같을 동(同) / 동굴 동(洞) / 몸통 동(胴) / 구리 동(銅) / 일(기쁠) 흥(興) / 대나무통 통(筒)
胴	몸통 동(장애인이든 정상인이든 사지가 똑같이(同)붙어 있는 몸(月)통)	どう 胴体（どうたい）ー몸통 (동체) 胴衣（どうい）ー조끼 (동의) 救命胴衣を装着する（きゅうめいどういをそうちゃくする）ー구명조끼를 입다 防弾胴衣（ぼうだんどうい）ー방탄조끼  胴上げ（どうあげ）ー헹가래 胴回り（どうまわり）ー몸통 둘레		같을 동(同) / 동굴 동(洞) / 몸통 동(胴) / 구리 동(銅) / 일(기쁠) 흥(興) / 대나무통 통(筒)
銅	구리 동(모두가 함께(同)쓰는 쇠(金))	どう 銅像（どうぞう）ー동상 銅像を建てる（どうぞうをたてる）ー동상을 세우다 銅メダル（どうめだる）ー동메달 青銅（せいどう）ー청동		같을 동(同) / 동굴 동(洞) / 몸통 동(胴) / 구리 동(銅) / 일(기쁠) 흥(興) / 대나무통 통(筒)
興	일/기쁠 흥( 깍지낄 국(𦥑) + 같을 동(同) + 한 일(一) + 여덟 팔(八))	こう 興奮（こうふん）ー흥분 興業（こうぎょう）ー흥행 (흥업) 復興（ふっこう）ー부흥 きょう 興味（きょうみ）ー흥미 余興（よきょう）ー여흥 即興（そっきょう）ー즉흥 遊興（ゆうきょう）ー유흥 遊興にふける（ゆうきょうにふける）ー유흥에 빠지다 感興（かんきょう）ー감흥 興ざめる（きょうざめる）ー흥이 깨지다, 기분 잡치다	興る（おこる）ー일어나다, 흥하다 産業が興 る（さんぎょうがおこる）ー산업이 흥하다 興す（おこす）ー일으키다, 흥하게하다	같을 동(同) / 동굴 동(洞) / 몸통 동(胴) / 구리 동(銅) / 일(기쁠) 흥(興) / 대나무통 통(筒)
筒	대나무통 통(우물에서 함께(同)쓰는 대나무(𥫗)통)	とう 封筒（ふうとう）ー봉투 封筒のあて名を縦書きにする（ふうとうのあてなをたてがきにする）ー봉투의 수신인 주소, 성명을 세로로 쓰다 水筒（すいとう）ー수통 煙筒（えんとう）ー굴뚝 (연통)	つつ 筒（つつ）ー통, 관 筒抜け（つつぬけ）ー곧바로 누설됨	같을 동(同) / 동굴 동(洞) / 몸통 동(胴) / 구리 동(銅) / 일(기쁠) 흥(興) / 대나무통 통(筒)
微	작을 미(갈 척(彳) + 작을 미(𢼸)) (작을 미(𢼸) : 하나(一)의 책상(几)으로 산(山)을 칠(攵)정도로 작음)	び 微妙（びみょう）ー미묘 微妙な違い（びみょうなちがい）ー미묘한 차이 両国の微妙な関係が続く（りょうこくのびみょうなかんけいがつづく）ー양국의 미묘한 관계가 계속되다 顕微鏡（けんびきょう）ー현미경 微量（びりょう）ー미량 微生物（びせいぶつ）ー미생물 微笑（びしょう）ー미소 謎めいた微笑（なぞめいたびしょう）ー수수께끼같은 미소 微細（びさい）ー미세 微細な違い（びさいなちがい）ー미세한 차이		작을 미(微) / 부를 징(徴) / 징계할 징(懲)
徴	부를 징(지나가는(彳) 왕(王)을 치기(攵) 위해 산(山)으로 부름)	ちょう 特徴（とくちょう）ー특징 両者に共通する特徴 （りょうしゃにきょうつうするとくちょう）ー두사람에게 공통된 특징  象徴（しょうちょう）ー상징 徴収（ちょうしゅう）ー징수 強制徴収（きょうせいちょうしゅう）ー강제 징수 原泉徴収（げんせんちょうしゅう）ー원천 징수 徴兵（ちょうへい）ー집병 徴用（ちょうよう）ー징용		작을 미(微) / 부를 징(徴) / 징계할 징(懲)
懲	징계할 징(상사가 불러서(徵)가는데 징계당할것 같은 불안한 마음(心))	ちょう 懲戒（ちょうかい）ー징계 懲戒処分（ちょうかいしょぶん）ー징계 처분 懲役（ちょうえき）ー징역 無期懲役（むきちょうえき）ー무기징역 膺懲（ようちょう）ー응징 敵を膺懲する（てきをようちょうする）ー적을 응징하다 懲罰（ちょうばつ）ー징벌 勧善懲悪（かんぜんちょうあく）ー권선징악	懲りる（こりる）ー질리다 人に懲りる（ひとにこりる）ー사람에 질리다  懲り懲り（こりごり）ー진절머리나다 懲らす（こらす）ー벌주다 (=こらしめる） 懲らしめる（こらしめる）ー벌주다 いたずら者を懲らしめる（いたずらものをこらしめる）ー장난꾸러기를 혼내 주다	작을 미(微) / 부를 징(徴) / 징계할 징(懲)
密	빽빽한/비밀 밀(우리집(宀)에 산(山)이 있다는건 반드시(必) 비밀)	みつ 秘密（ひみつ）ー비밀 秘密裏（ひみつり）ー비밀리 秘密投票（ひみつとうひょう）ー비밀 투표 綿密（めんみつ）ー면밀 過密（かみつ）ー과밀 厳密（げんみつ）ー엄밀 緊密（きんみつ）ー긴밀 精密（せいみつ）ー정밀 精密機械（せいみつきかい）ー정밀 기계 密度（みつど）ー밀도 人口密度（じんこうみつど）ー인구 밀도 親密（しんみつ）ー친밀 密輸（みつゆ）ー밀수 密輸入（みつゆにゅう）ー밀수입 密輸出（みつゆしゅつ）ー밀수출 蜜売買（みつばいばい）ー밀매매 緻密（ちみつ）ー치밀 濃密（のうみつ）ー농밀 密猟（みつりょう）ー밀렵 隠密（おんみつ）ー은밀 機密（きみつ）ー기밀		반드시 필(必) / 분비할 비(泌) / 숨길 비(秘) / 빽빽할(비밀) 밀(密) / 꿀 밀(蜜)
蜜	꿀 밀(벌 집(宀)에 반드시(必) 필요한 꿀 벌레(虫))	みつ 蜂蜜（はちみつ）ー꿀 (봉밀) お湯に蜂蜜を溶かす（おゆにはちみつをとかす）ー뜨거운 물에 꿀을 타다 糖蜜（とうみつ）ー당밀 蜜柑（みかん）ー귤		반드시 필(必) / 분비할 비(泌) / 숨길 비(秘) / 빽빽할(비밀) 밀(密) / 꿀 밀(蜜)
半	절반 반(열개(十) 반(一)으로 나눔(``))	はん 半分（はんぶん）ー절반 冗談半分に話す （じょうだんはんぶんにはなす）ー반농담으로 말하다 前半（ぜんはん）ー전반 半径（はんけい）ー반경 行動半径（こうどうはんけい）ー행동반경 半島（はんとう）ー반도 半袖（はんそで）ー반소매 上半期（かみはんき）ー상반기 下半期（しもはんき）ー하반기 半信半疑（はんしんはんぎ）ー반신반의	なかば 半ば（なかば）ー절반, 도중	절반 반(半) / 짝 반(伴) / 판단할 판(判) / 밭두둑 반(畔)
