#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
妃	왕비 비(자기(己)를 왕비라 말하는 여자(女))	ひ 王妃（おうひ）ー왕비 王は若い王妃を迎えた（おうはわかいおうひをむかえた）ー왕은 젊은 왕비를 맞이했다 彼女は若くして王妃となった（かのじょはわかくしておうひとなった）ー그녀는 어린 나이에 왕비가 되었다		몸 기(己) / 왕비 비(妃) / 꺼릴 기(忌) / 시대 기(紀) / 기록할 기(記) / 일어날 기(起) / 짝(나눌) 배(配)
忌	꺼릴 기(내(己) 마음(心)대로 행동하면 모두가 꺼림)	き 忌避（きひ）ー기피 兵役忌避（へいえききひ）ー병역 기피 忌避対象（きひたいしょう）ー기피 대상 禁忌（きんき）ー금기 禁忌事項（きんきじこう）ー금기사항 禁忌を犯す（きんきをおかす）ー금기를 어기다	忌む（いむ）ー꺼리다 肉食を忌む（にくしょくをいむ）ー육식을 꺼리다  忌み言葉（いみことば）ー금기어 忌まわしい（いまわしい）ー꺼림칙하다	몸 기(己) / 왕비 비(妃) / 꺼릴 기(忌) / 시대 기(紀) / 기록할 기(記) / 일어날 기(起) / 짝(나눌) 배(配)
髪	터럭 발(친구(友)의 긴(長) 머리털(毛))	はつ 白髪（はくはつ）ー백발 頭髪（とうはつ）ー두발 頭髪を刈る（とうはつをかる）ー머리를 깍다 長髪（ちょうはつ）ー장발 理髪店（りはつてん）ー이발소	かみ髪（かみ）ー머리카락 前髪（まえがみ）ー앞머리 後ろ髪（うしろがみ）ー뒷머리	벗 우(友) / 뽑을 발(抜) / 도울 원(援) / 따뜻할 난(暖) / 여자 원(媛) / 느릴 완(緩) / 터럭 발(髪)
瓦	기와 와(기와가 서로겹친모양)	が 瓦解（がかい）ー와해 組織の瓦解（そしきのがかい）ー조직의 와해	かわら 瓦（かわら）ー기와 (기와 카와라) 屋根材を瓦にする（やねざいをかわらにする）ー지붕재를 기와로 하다	기와 와(瓦) / 병 병(瓶)
賭	내기 도(돈을(貝) 걸고 사람(者)들이하는것)	と 賭博（とばく）ー도박 賭博罪（とばくざい）ー도박죄 賭博者（とばくし）ー노름꾼 賭博黙示録カイジ（とばくもくしろくカイジ）ー도박묵시룩 카이지 賭する（とする）ー내기하다	賭ける（かける）ー걸다, 내기하다 命を賭ける（いのちをかける）ー목숨을 걸다	놈 자(者) / 삶을 자(煮) / 글쓸 저(著) / 젓가락 저(箸) / 더울 서(暑) / 마을 서(署) / 실마리 서(緒) / 모두 제(諸) / 도읍 도(都) / 내기 도(賭)
旋	돌 선(깃대(方)(𠂉)를 들고 발(足)로 돔) (깃대 언 : (方)(𠂉))	せん 旋回（せんかい）ー선회 旋回して飛ぶ（せんかいしてとぶ）ー선회해서 날다 旋律（せんりつ）ー선율 旋律が流れる（せんりつがながれる）ー선율이 흐르다 旋風（せんぷう）ー선풍		돌 선(旋) / 깃발 기(旗) / 나그네 려(旅) / 실시 시(施) / 겨레 족(族) / 놀 유(遊)
嘆	탄식할 탄(홍수로 진흙(菫)밭이되어 농부의 입(口)에서 탄식이나옴)  (진흙 근(堇)(漢) : 사람 살가죽(革)이 진흙 땅(土)에 빠짐 / 스무살(廿)에 돈이없어 진흙 먹는(口) 남편(夫))	たん 嘆声（たんせい）ー탄성 呻くように嘆声を発する（うめくようにたんせいをはっする）ー신음하는 듯 탄성을 내다 慨嘆（がいたん）ー개탄 感嘆（かんたん）ー감탄 感嘆詞（かんたんし）ー감탄사 嘆息（たんそく）ー탄식 嘆息が出る（たんそくがでる）ー탄식이 나오다 悲嘆（ひたん）ー비탄	嘆く（なげく）ー한탄하다, 슬퍼하다, 개탄하다 友の死を嘆く（とものしをなげく）ー친구의 죽음을 슬퍼하다 嘆かわしい（なげかわしい）ー한탄스럽다, 한심스럽다	진흙 근(堇)(漢) / 탄식할 탄(嘆) / 겨우 근(僅) / 삼가할 근(謹) / 부지런할 근(勤) / 한나라 한(漢) / 어려울 난(難)
娛	즐길 오(큰소리 치며(吳) 여자(女)가 즐김) (큰소리칠/오나라 오(呉) : 입(口)벌리고 목을 젖혀(𠃑) 큰(大)소리 치는 오나라)	ご 娯楽（ごらく）ー오락 健全な娯楽（けんぜんなごらく）ー건전한 오락		큰소리칠(오나라) 오(呉) / 그르칠 오(誤) / 즐길 오(娛) / 염려 우(虞)
虞	염려 우(오나라(吳)사람들은 호랑이(虎)가 나올까봐 염려(우려)) (큰소리칠/오나라 오(呉) : 입(口)벌리고 목을 젖혀(𠃑) 큰(大)소리 치는 오나라)	ぐ 虞犯（ぐはん）ー우범 虞犯地帯（ぐはんちたい）ー우범 지대 虞犯者を取り締まる（ぐかんしゃをとりしまる）ー우범자를 단속하다	おそれ 虞（おそれ）ー염려,우려	큰소리칠(오나라) 오(呉) / 그르칠 오(誤) / 즐길 오(娛) / 염려 우(虞)
邦	나라 방(삼백년(三)을 굳건히(l)지킨 고을(⻏)이 모여 형성된 것)	ほう 異邦（いほう）ー이방 異邦人の姿（いほうじんのすがた）ー이방인의 모습 異邦人（いほうじん）ー이방인 邦語（ほうご）ー국어, 나랏말		
